Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
40.563430707,USMsgRx,10,2,0,74ffffffffffffff0000,10
40.623099153,USMsgRx,54,2,0,70ffffffffffffff0000,10
40.884010909,USMsgRx,233,2,0,6fffffffffffffff0000,10
41.093134065,USMsgRx,826,2,0,6effffffffffffff0000,10
41.560937301,USMsgRx,642,2,0,6dffffffffffffff0000,10
42.069133702,USMsgRx,575,2,0,6cffffffffffffff0000,10
42.686106648,USMsgRx,811,2,0,6bffffffffffffff0000,10
43.716416949,USMsgRx,561,2,0,68ffffffffffffff0000,10
43.859739852,USMsgRx,851,2,0,69ffffffffffffff0000,10
44.218825400,USMsgRx,93,2,0,67ffffffffffffff0000,10
44.394252648,USMsgRx,774,2,0,6affffffffffffff0000,10
44.677276751,USMsgRx,199,2,0,65ffffffffffffff0000,10
44.857873579,USMsgRx,104,2,0,63ffffffffffffff0000,10
45.114486938,USMsgRx,269,2,0,64ffffffffffffff0000,10
45.354671282,USMsgRx,130,2,0,60ffffffffffffff0000,10
45.910819441,USMsgRx,328,2,0,5fffffffffffffff0000,10
46.359840769,USMsgRx,437,2,0,5dffffffffffffff0000,10
46.528892502,USMsgRx,214,2,0,5cffffffffffffff0000,10
47.234236247,USMsgRx,47,2,0,58ffffffffffffff0000,10
47.453405329,USMsgRx,149,2,0,5affffffffffffff0000,10
47.485076410,USMsgRx,126,2,0,57ffffffffffffff0000,10
48.264147193,USMsgRx,493,2,0,55ffffffffffffff0000,10
48.446415477,USMsgRx,518,2,0,56ffffffffffffff0000,10
48.898194453,USMsgRx,716,2,0,54ffffffffffffff0000,10
49.312133383,USMsgRx,799,2,0,53ffffffffffffff0000,10
49.586172284,USMsgRx,189,2,0,52ffffffffffffff0000,10
49.702261645,USMsgRx,761,2,0,51ffffffffffffff0000,10
49.862304111,USMsgRx,789,2,0,4fffffffffffffff0000,10
50.412509887,USMsgRx,408,2,0,4effffffffffffff0000,10
50.569208108,USMsgRx,311,2,0,50ffffffffffffff0000,10
51.188100351,USMsgRx,48,2,0,4cffffffffffffff0000,10
51.261750836,USMsgRx,719,2,0,4bffffffffffffff0000,10
51.469156439,USMsgRx,375,2,0,4affffffffffffff0000,10
51.551928232,USMsgRx,205,2,0,49ffffffffffffff0000,10
52.209513991,USMsgRx,898,2,0,48ffffffffffffff0000,10
52.448158667,USMsgRx,14,2,0,46ffffffffffffff0000,10
52.966647390,USMsgRx,801,2,0,45ffffffffffffff0000,10
53.045645668,USMsgRx,268,2,0,44ffffffffffffff0000,10
53.146029979,USMsgRx,835,2,0,43ffffffffffffff0000,10
53.725789478,USMsgRx,362,2,0,41ffffffffffffff0000,10
53.908999427,USMsgRx,143,2,0,3fffffffffffffff0000,10
53.949289076,USMsgRx,503,2,0,40ffffffffffffff0000,10
54.170150837,USMsgRx,797,2,0,3dffffffffffffff0000,10
54.175690974,USMsgRx,583,2,0,3effffffffffffff0000,10
54.404001068,USMsgRx,348,2,0,3cffffffffffffff0000,10
54.518147558,USMsgRx,305,2,0,3affffffffffffff0000,10
54.561974046,USMsgRx,135,2,0,3bffffffffffffff0000,10
54.882450416,USMsgRx,456,2,0,38ffffffffffffff0000,10
55.775045982,USMsgRx,81,2,0,37ffffffffffffff0000,10
55.980566283,USMsgRx,452,2,0,36ffffffffffffff0000,10
56.957687894,USMsgRx,808,2,0,35ffffffffffffff0000,10
57.169780479,USMsgRx,845,2,0,34ffffffffffffff0000,10
57.634951906,USMsgRx,341,2,0,32ffffffffffffff0000,10
57.669865352,USMsgRx,497,2,0,33ffffffffffffff0000,10
57.869923182,USMsgRx,817,2,0,31ffffffffffffff0000,10
58.604757679,USMsgRx,837,2,0,30ffffffffffffff0000,10
58.719000767,USMsgRx,347,2,0,2fffffffffffffff0000,10
59.126424267,USMsgRx,910,2,0,2effffffffffffff0000,10
59.308951880,USMsgRx,846,2,0,2dffffffffffffff0000,10
59.384506466,USMsgRx,418,2,0,2bffffffffffffff0000,10
59.442887082,USMsgRx,449,2,0,2cffffffffffffff0000,10
59.608885908,USMsgRx,874,2,0,2affffffffffffff0000,10
60.016048269,USMsgRx,238,2,0,29ffffffffffffff0000,10
