Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
2.335779972,1,4126,0,0,MacState,1,2
2.336881548,1,1053,0,0,MacState,3,4
2.343865033,1,2739,0,0,MacState,2,3
2.346605967,1,4256,0,0,MacState,0,1
2.354914460,1,4037,0,0,MacState,2,3
2.369169423,1,2681,0,0,MacState,0,1
2.375119059,1,1845,0,0,MacState,1,2
2.377225286,1,252,0,0,MacState,4,5
2.377946518,1,4687,0,0,MacState,4,5
2.380002460,1,4037,0,0,MacState,3,4
2.408301967,1,4256,0,0,MacState,1,2
2.408305945,1,2739,0,0,MacState,3,4
2.430865423,1,2681,0,0,MacState,1,2
2.469438771,1,389,0,0,MacState,2,3
2.472158781,1,1582,0,0,MacState,2,3
2.483265659,1,2125,0,0,MacState,2,3
2.495809659,1,2125,0,0,MacState,3,4
2.497246781,1,1582,0,0,MacState,3,4
2.507229782,1,1338,0,0,MacState,0,1
2.533422950,1,3736,0,0,MacState,4,5
2.551603231,1,4219,0,0,MacState,0,1
2.568925782,1,1338,0,0,MacState,1,2
2.569790771,1,389,0,0,MacState,3,4
2.577295684,1,240,0,0,MacState,5,0
2.580757288,1,2635,0,0,MacState,5,0
2.621285852,1,1359,0,0,MacState,4,5
2.642362079,1,2730,0,0,MacState,4,5
2.664755231,1,4219,0,0,MacState,1,2
2.677417869,1,3912,0,0,MacState,5,0
2.701932739,1,3951,0,0,MacState,4,5
2.703532707,1,4780,0,0,MacState,0,1
2.729524081,1,2522,0,0,MacState,2,3
2.742682902,1,4593,0,0,MacState,0,1
2.746633731,1,4966,0,0,MacState,2,3
2.748794652,1,2012,0,0,MacState,4,5
2.758642605,1,3725,0,0,MacState,0,1
2.765228707,1,4780,0,0,MacState,1,2
2.778633286,1,252,0,0,MacState,5,0
2.779354518,1,4687,0,0,MacState,5,0
2.779700081,1,2522,0,0,MacState,3,4
2.783891551,1,2466,0,0,MacState,4,5
2.788313442,1,4370,0,0,MacState,4,5
2.804175550,1,1048,0,0,MacState,0,1
2.804378902,1,4593,0,0,MacState,1,2
2.811343405,1,630,0,0,MacState,0,1
2.820338605,1,3725,0,0,MacState,1,2
2.820342587,1,4966,0,0,MacState,3,4
2.839340655,1,1203,0,0,MacState,4,5
2.851344154,1,1054,0,0,MacState,0,1
2.873039405,1,630,0,0,MacState,1,2
2.882752419,1,207,0,0,MacState,4,5
2.883495672,1,2996,0,0,MacState,2,3
2.893123333,1,343,0,0,MacState,0,1
2.913040154,1,1054,0,0,MacState,1,2
2.917327550,1,1048,0,0,MacState,1,2
2.918032031,1,2818,0,0,MacState,4,5
2.923700184,1,4672,0,0,MacState,4,5
2.934830950,1,3736,0,0,MacState,5,0
2.941899376,1,4165,0,0,MacState,0,1
2.968255155,1,246,0,0,MacState,0,1
2.989768847,1,2118,0,0,MacState,0,1
2.998628240,1,697,0,0,MacState,0,1
3.002472196,1,167,0,0,MacState,4,5
3.002960232,1,1022,0,0,MacState,4,5
3.022693852,1,1359,0,0,MacState,5,0
3.029951155,1,246,0,0,MacState,1,2
3.032743775,1,2702,0,0,MacState,0,1
3.034237360,1,4174,0,0,MacState,0,1
3.043770079,1,2730,0,0,MacState,5,0
3.046016170,1,110,0,0,MacState,0,1
3.051783845,1,618,0,0,MacState,2,3
3.054689904,1,3472,0,0,MacState,2,3
3.060714132,1,306,0,0,MacState,4,5
3.064327845,1,618,0,0,MacState,3,4
3.068279623,1,2092,0,0,MacState,0,1
3.072109805,1,1929,0,0,MacState,2,3
3.079777904,1,3472,0,0,MacState,3,4
3.083135867,1,4029,0,0,MacState,2,3
3.095679867,1,4029,0,0,MacState,3,4
3.095933360,1,4174,0,0,MacState,1,2
3.097197805,1,1929,0,0,MacState,3,4
3.103340739,1,3951,0,0,MacState,5,0
3.107712170,1,110,0,0,MacState,1,2
3.145661847,1,2694,0,0,MacState,2,3
3.150202652,1,2012,0,0,MacState,5,0
3.155484617,1,462,0,0,MacState,2,3
3.168028617,1,462,0,0,MacState,3,4
3.170749847,1,2694,0,0,MacState,3,4
3.174684115,1,46,0,0,MacState,4,5
3.175286445,1,779,0,0,MacState,2,3
3.175510032,1,731,0,0,MacState,2,3
3.181431623,1,2092,0,0,MacState,1,2
3.185299551,1,2466,0,0,MacState,5,0
3.187830445,1,779,0,0,MacState,3,4
3.188054032,1,731,0,0,MacState,3,4
3.189721442,1,4370,0,0,MacState,5,0
3.195592847,1,2118,0,0,MacState,1,2
3.228755499,1,2804,0,0,MacState,2,3
3.240748655,1,1203,0,0,MacState,5,0
3.253843499,1,2804,0,0,MacState,3,4
3.284160419,1,207,0,0,MacState,5,0
3.311793548,1,1053,0,0,MacState,4,5
3.312587376,1,4165,0,0,MacState,1,2
3.319440031,1,2818,0,0,MacState,5,0
3.325108184,1,4672,0,0,MacState,5,0
3.335779972,1,4126,0,0,MacState,2,3
3.343865033,1,2739,0,0,MacState,4,5
3.354914460,1,4037,0,0,MacState,4,5
3.375119059,1,1845,0,0,MacState,2,3
3.385955972,1,4126,0,0,MacState,3,4
3.387663059,1,1845,0,0,MacState,3,4
3.403431775,1,2702,0,0,MacState,1,2
3.403880196,1,167,0,0,MacState,5,0
3.404368232,1,1022,0,0,MacState,5,0
3.408301967,1,4256,0,0,MacState,2,3
3.420845967,1,4256,0,0,MacState,3,4
3.430865423,1,2681,0,0,MacState,2,3
3.437224895,1,1973,0,0,MacState,0,1
3.462122132,1,306,0,0,MacState,5,0
3.469438771,1,389,0,0,MacState,4,5
3.472158781,1,1582,0,0,MacState,4,5
3.483265659,1,2125,0,0,MacState,4,5
3.498920895,1,1973,0,0,MacState,1,2
3.498922673,1,2681,0,0,MacState,3,4
3.502638458,1,4394,0,0,MacState,0,1
3.564334458,1,4394,0,0,MacState,1,2
3.568925782,1,1338,0,0,MacState,2,3
3.576092115,1,46,0,0,MacState,5,0
3.581469782,1,1338,0,0,MacState,3,4
3.618257388,1,2853,0,0,MacState,0,1
3.664755231,1,4219,0,0,MacState,2,3
3.679953388,1,2853,0,0,MacState,1,2
3.689843231,1,4219,0,0,MacState,3,4
3.713201548,1,1053,0,0,MacState,5,0
3.729524081,1,2522,0,0,MacState,4,5
3.745273033,1,2739,0,0,MacState,5,0
3.746633731,1,4966,0,0,MacState,4,5
3.756322460,1,4037,0,0,MacState,5,0
3.765228707,1,4780,0,0,MacState,2,3
3.777772707,1,4780,0,0,MacState,3,4
3.788754317,1,1004,0,0,MacState,0,1
3.804378902,1,4593,0,0,MacState,2,3
3.816922902,1,4593,0,0,MacState,3,4
3.820338605,1,3725,0,0,MacState,2,3
3.821924240,1,697,0,0,MacState,1,2
3.821926502,1,2996,0,0,MacState,3,4
3.832882605,1,3725,0,0,MacState,3,4
3.870846771,1,389,0,0,MacState,5,0
3.873039405,1,630,0,0,MacState,2,3
3.873566781,1,1582,0,0,MacState,5,0
3.883495672,1,2996,0,0,MacState,4,5
3.884673659,1,2125,0,0,MacState,5,0
3.885583405,1,630,0,0,MacState,3,4
3.887123150,1,364,0,0,MacState,0,1
3.903090677,1,1459,0,0,MacState,0,1
3.906360667,1,366,0,0,MacState,0,1
3.913040154,1,1054,0,0,MacState,2,3
3.917327550,1,1048,0,0,MacState,2,3
3.925584154,1,1054,0,0,MacState,3,4
3.942415550,1,1048,0,0,MacState,3,4
4.012565602,1,4183,0,0,MacState,0,1
4.016242677,1,1459,0,0,MacState,1,2
4.019512667,1,366,0,0,MacState,1,2
4.029951155,1,246,0,0,MacState,2,3
4.042495155,1,246,0,0,MacState,3,4
4.051783845,1,618,0,0,MacState,4,5
4.054689904,1,3472,0,0,MacState,4,5
4.072109805,1,1929,0,0,MacState,4,5
4.074261602,1,4183,0,0,MacState,1,2
4.083135867,1,4029,0,0,MacState,4,5
4.092947150,1,364,0,0,MacState,1,2
4.095933360,1,4174,0,0,MacState,2,3
4.107435339,1,3084,0,0,MacState,0,1
4.107712170,1,110,0,0,MacState,2,3
4.120256170,1,110,0,0,MacState,3,4
4.126268010,1,4328,0,0,MacState,0,1
4.130932081,1,2522,0,0,MacState,5,0
4.135281001,1,3987,0,0,MacState,0,1
4.145661847,1,2694,0,0,MacState,4,5
4.148041731,1,4966,0,0,MacState,5,0
4.155484617,1,462,0,0,MacState,4,5
4.169131339,1,3084,0,0,MacState,1,2
4.169133914,1,4174,0,0,MacState,3,4
4.175286445,1,779,0,0,MacState,4,5
4.175510032,1,731,0,0,MacState,4,5
4.181431623,1,2092,0,0,MacState,2,3
4.187964010,1,4328,0,0,MacState,1,2
4.195592847,1,2118,0,0,MacState,2,3
4.206519623,1,2092,0,0,MacState,3,4
4.228755499,1,2804,0,0,MacState,4,5
4.245768847,1,2118,0,0,MacState,3,4
4.284903672,1,2996,0,0,MacState,5,0
4.296865871,1,881,0,0,MacState,0,1
4.312587376,1,4165,0,0,MacState,2,3
4.335779972,1,4126,0,0,MacState,4,5
4.358561871,1,881,0,0,MacState,1,2
4.375119059,1,1845,0,0,MacState,4,5
4.375875333,1,343,0,0,MacState,1,2
4.380952429,1,593,0,0,MacState,0,1
4.403431775,1,2702,0,0,MacState,2,3
4.408301967,1,4256,0,0,MacState,4,5
4.412939376,1,4165,0,0,MacState,3,4
4.430865423,1,2681,0,0,MacState,4,5
4.446118377,1,472,0,0,MacState,0,1
4.453191845,1,618,0,0,MacState,5,0
4.456097904,1,3472,0,0,MacState,5,0
4.473517805,1,1929,0,0,MacState,5,0
4.484543867,1,4029,0,0,MacState,5,0
4.498920895,1,1973,0,0,MacState,2,3
4.503783775,1,2702,0,0,MacState,3,4
4.505969001,1,3987,0,0,MacState,1,2
4.511464895,1,1973,0,0,MacState,3,4
4.547069847,1,2694,0,0,MacState,5,0
4.556892617,1,462,0,0,MacState,5,0
4.564334458,1,4394,0,0,MacState,2,3
4.565421782,1,111,0,0,MacState,0,1
4.568925782,1,1338,0,0,MacState,4,5
4.576694445,1,779,0,0,MacState,5,0
4.576918032,1,731,0,0,MacState,5,0
4.586776429,1,593,0,0,MacState,1,2
4.612050317,1,1004,0,0,MacState,1,2
4.627117782,1,111,0,0,MacState,1,2
4.627119259,1,4394,0,0,MacState,3,4
4.630163499,1,2804,0,0,MacState,5,0
4.651942377,1,472,0,0,MacState,1,2
4.664755231,1,4219,0,0,MacState,4,5
4.679953388,1,2853,0,0,MacState,2,3
4.692497388,1,2853,0,0,MacState,3,4
4.737187972,1,4126,0,0,MacState,5,0
4.765228707,1,4780,0,0,MacState,4,5
4.768286550,1,1130,0,0,MacState,0,1
4.775041316,1,3624,0,0,MacState,0,1
4.776527059,1,1845,0,0,MacState,5,0
4.788199857,1,2580,0,0,MacState,0,1
4.804378902,1,4593,0,0,MacState,4,5
4.809709967,1,4256,0,0,MacState,5,0
4.820338605,1,3725,0,0,MacState,4,5
4.821924240,1,697,0,0,MacState,2,3
4.832273423,1,2681,0,0,MacState,5,0
4.851900019,1,1555,0,0,MacState,0,1
4.873039405,1,630,0,0,MacState,4,5
4.881438550,1,1130,0,0,MacState,1,2
4.885875367,1,3211,0,0,MacState,0,1
4.898744872,1,3439,0,0,MacState,0,1
4.901351857,1,2580,0,0,MacState,1,2
4.913040154,1,1054,0,0,MacState,4,5
4.917327550,1,1048,0,0,MacState,4,5
4.960440872,1,3439,0,0,MacState,1,2
4.965052019,1,1555,0,0,MacState,1,2
4.970333782,1,1338,0,0,MacState,5,0
5.016242677,1,1459,0,0,MacState,2,3
5.019512667,1,366,0,0,MacState,2,3
5.029951155,1,246,0,0,MacState,4,5
5.037859954,1,335,0,0,MacState,0,1
5.041330677,1,1459,0,0,MacState,3,4
5.044600667,1,366,0,0,MacState,3,4
5.066163231,1,4219,0,0,MacState,5,0
5.074261602,1,4183,0,0,MacState,2,3
5.080706848,1,3409,0,0,MacState,0,1
5.083964405,1,940,0,0,MacState,0,1
5.086805602,1,4183,0,0,MacState,3,4
5.092947150,1,364,0,0,MacState,2,3
5.095933360,1,4174,0,0,MacState,4,5
5.107712170,1,110,0,0,MacState,4,5
5.112402737,1,1177,0,0,MacState,0,1
5.143123150,1,364,0,0,MacState,3,4
5.166636707,1,4780,0,0,MacState,5,0
5.169131339,1,3084,0,0,MacState,2,3
5.170488421,1,467,0,0,MacState,0,1
5.181431623,1,2092,0,0,MacState,4,5
5.187964010,1,4328,0,0,MacState,2,3
5.195592847,1,2118,0,0,MacState,4,5
5.197116405,1,940,0,0,MacState,1,2
5.200508010,1,4328,0,0,MacState,3,4
5.205786902,1,4593,0,0,MacState,5,0
5.221746605,1,3725,0,0,MacState,5,0
5.225554737,1,1177,0,0,MacState,1,2
5.232184421,1,467,0,0,MacState,1,2
5.232188213,1,3084,0,0,MacState,3,4
5.243683954,1,335,0,0,MacState,1,2
5.274447405,1,630,0,0,MacState,5,0
5.294606741,1,3978,0,0,MacState,0,1
5.312587376,1,4165,0,0,MacState,4,5
5.314448154,1,1054,0,0,MacState,5,0
5.318735550,1,1048,0,0,MacState,5,0
5.356302741,1,3978,0,0,MacState,1,2
5.358561871,1,881,0,0,MacState,2,3
5.371105871,1,881,0,0,MacState,3,4
5.375875333,1,343,0,0,MacState,2,3
5.380547516,1,4904,0,0,MacState,0,1
5.403431775,1,2702,0,0,MacState,4,5
5.420084676,1,3986,0,0,MacState,0,1
5.431359155,1,246,0,0,MacState,5,0
5.442243516,1,4904,0,0,MacState,1,2
5.451394848,1,3409,0,0,MacState,1,2
5.455911447,1,1313,0,0,MacState,0,1
5.497341360,1,4174,0,0,MacState,5,0
5.498920895,1,1973,0,0,MacState,4,5
5.505969001,1,3987,0,0,MacState,2,3
5.509120170,1,110,0,0,MacState,5,0
5.564334458,1,4394,0,0,MacState,4,5
5.569063447,1,1313,0,0,MacState,1,2
5.570237748,1,485,0,0,MacState,0,1
5.582839623,1,2092,0,0,MacState,5,0
5.586776429,1,593,0,0,MacState,2,3
5.597000847,1,2118,0,0,MacState,5,0
5.598337316,1,3624,0,0,MacState,1,2
5.606321001,1,3987,0,0,MacState,3,4
5.612050317,1,1004,0,0,MacState,2,3
5.615046845,1,3122,0,0,MacState,0,1
5.625908676,1,3986,0,0,MacState,1,2
5.627117782,1,111,0,0,MacState,2,3
5.631933748,1,485,0,0,MacState,1,2
5.636952429,1,593,0,0,MacState,3,4
5.639661782,1,111,0,0,MacState,3,4
5.651942377,1,472,0,0,MacState,2,3
5.663399323,1,2556,0,0,MacState,0,1
5.679953388,1,2853,0,0,MacState,4,5
5.702118377,1,472,0,0,MacState,3,4
5.709171367,1,3211,0,0,MacState,1,2
5.709179484,1,697,0,0,MacState,3,4
5.713995376,1,4165,0,0,MacState,5,0
5.722507110,1,4506,0,0,MacState,0,1
5.725095323,1,2556,0,0,MacState,1,2
5.759294237,1,116,0,0,MacState,0,1
5.777283333,1,343,0,0,MacState,3,4
5.784203110,1,4506,0,0,MacState,1,2
5.800845359,1,1636,0,0,MacState,0,1
5.804839775,1,2702,0,0,MacState,5,0
5.812754317,1,1004,0,0,MacState,3,4
5.820870845,1,3122,0,0,MacState,1,2
5.821924240,1,697,0,0,MacState,4,5
5.862541359,1,1636,0,0,MacState,1,2
5.863164043,1,586,0,0,MacState,0,1
5.872446237,1,116,0,0,MacState,1,2
5.881438550,1,1130,0,0,MacState,2,3
5.900328895,1,1973,0,0,MacState,5,0
5.901351857,1,2580,0,0,MacState,2,3
5.906526550,1,1130,0,0,MacState,3,4
5.908114516,1,4267,0,0,MacState,0,1
5.926439857,1,2580,0,0,MacState,3,4
5.960440872,1,3439,0,0,MacState,2,3
5.965052019,1,1555,0,0,MacState,2,3
5.965742458,1,4394,0,0,MacState,5,0
5.969810516,1,4267,0,0,MacState,1,2
5.972314659,1,1131,0,0,MacState,0,1
5.972984872,1,3439,0,0,MacState,3,4
5.990140019,1,1555,0,0,MacState,3,4
6.011828279,1,4711,0,0,MacState,0,1
6.016242677,1,1459,0,0,MacState,4,5
6.019512667,1,366,0,0,MacState,4,5
6.068988043,1,586,0,0,MacState,1,2
6.073524279,1,4711,0,0,MacState,1,2
6.074261602,1,4183,0,0,MacState,4,5
6.081361388,1,2853,0,0,MacState,5,0
6.092947150,1,364,0,0,MacState,4,5
6.098112084,1,3102,0,0,MacState,0,1
6.105374933,1,2867,0,0,MacState,0,1
6.169131339,1,3084,0,0,MacState,4,5
6.178138659,1,1131,0,0,MacState,1,2
6.187964010,1,4328,0,0,MacState,4,5
6.197116405,1,940,0,0,MacState,2,3
6.214944713,1,4135,0,0,MacState,0,1
6.218526933,1,2867,0,0,MacState,1,2
6.222204405,1,940,0,0,MacState,3,4
6.223332240,1,697,0,0,MacState,5,0
6.225554737,1,1177,0,0,MacState,2,3
