DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
264,1,61.2071,2297.26,2298.07,3
265,1,1321.95,224.851,1340.94,5
266,1,-1547.51,2362.55,2824.26,2
267,1,-1778.91,-252.988,1796.81,4
268,1,-1471.11,1042.86,1803.26,4
269,1,2493.47,-1471.4,2895.24,2
270,1,1166.06,-2442.24,2706.33,2
271,1,2032.61,-334.209,2059.9,4
272,1,626.607,1252.38,1400.39,5
273,1,1624.31,1194.74,2016.38,4
274,1,1921.3,1164.61,2246.71,3
275,1,-1555.59,-1740.28,2334.19,3
276,1,632.178,2100.23,2193.31,3
277,1,-960.325,-1137.92,1488.99,5
278,1,1110.26,-779.211,1356.41,5
279,1,335.965,-2277.78,2302.43,3
280,1,-129.876,1045.45,1053.49,5
281,1,-1945.16,17.3126,1945.24,4
282,1,1924.49,1508.79,2445.43,3
283,1,2974.96,102.018,2976.71,2
284,1,-1462.99,1611.26,2176.35,3
285,1,2453.97,28.4349,2454.13,3
286,1,-1811.41,131.223,1816.15,4
287,1,-492.736,2179.62,2234.62,3
288,1,930.386,-1965.04,2174.17,3
289,1,400.711,-550.108,680.58,5
290,1,1377.12,554.181,1484.44,5
291,1,2628.82,995.363,2810.95,2
292,1,1326.78,-2360.97,2708.24,2
293,1,2295.47,173.763,2302.04,3
294,1,-238.577,-2874.02,2883.9,2
295,1,233.456,-328.093,402.675,5
296,1,-337.042,87.8297,348.297,5
297,1,-1764.9,-1552.78,2350.74,3
298,1,505.737,-2715.65,2762.34,2
299,1,636.47,920.558,1119.16,5
300,1,612.91,-1748.62,1852.93,4
301,1,-2103.04,1825.21,2784.63,2
302,1,1914.12,-2138.27,2869.85,2
303,1,-903.325,553.378,1059.35,5
304,1,890.829,-1584.48,1817.73,4
305,1,-194.055,-1348.75,1362.64,5
306,1,-1592.98,939.88,1849.58,4
307,1,1752,-1987.4,2649.39,3
308,1,-1837.25,1515.93,2381.92,3
309,1,1612.86,-1282.8,2060.8,4
310,1,-835.004,-743.305,1117.92,5
311,1,-1011.75,-861.683,1328.96,5
312,1,479.725,-2439.13,2485.86,3
313,1,1123.64,437.258,1205.72,5
314,1,-104.679,-1056.9,1062.07,5
315,1,-1073.12,1831.65,2122.85,4
316,1,-1983.11,972.256,2208.62,3
317,1,-2118.28,-1861.19,2819.77,2
318,1,306.273,-652.45,720.759,5
319,1,-1770.71,2168.4,2799.53,2
320,1,-794.496,532.941,956.687,5
321,1,-538.093,-88.5422,545.329,5
322,1,-505.69,-446.582,674.654,5
323,1,-2177.59,576.461,2252.6,3
324,1,1985.44,-646.186,2087.94,4
325,1,1142.68,256.774,1171.18,5
326,1,2073.56,-1066.35,2331.69,3
327,1,-2223.47,172.837,2230.17,3
328,1,1240.54,1156.77,1696.19,5
329,1,2073.06,-1876.8,2796.42,2
330,1,986.509,-1993.36,2224.12,3
331,1,-864.74,-1159.25,1446.25,5
332,1,-2362.8,799.722,2494.47,3
333,1,292.566,851.709,900.557,5
334,1,2846.07,-95.9114,2847.69,2
335,1,-7.47251,1644.55,1644.56,5
336,1,2330.54,206.232,2339.65,3
337,1,-1641,2123.45,2683.64,3
338,1,334.944,715.236,789.778,5
339,1,2097.96,-1783.98,2753.91,2
340,1,-687.643,-1781.77,1909.86,4
341,1,-2827.03,-604.683,2890.97,2
342,1,1423.32,-1125.07,1814.28,4
343,1,-33.3667,1779.66,1779.98,4
344,1,955.805,-2110.18,2316.55,3
345,1,317.096,-2352.34,2373.61,3
346,1,-546.69,-304.911,625.972,5
347,1,123.685,1512.26,1517.31,5
348,1,230.383,1484.02,1501.8,5
349,1,928.679,-2399.45,2572.9,3
350,1,-2458.29,-911.329,2621.78,3
351,1,67.004,898.887,901.381,5
352,1,660.915,2657.97,2738.91,2
353,1,-587.748,-1749.89,1845.96,4
354,1,-1144.12,-683.2,1332.58,5
355,1,-2792.21,-78.335,2793.31,2
356,1,-774.11,-701.146,1044.44,5
357,1,-601.623,-2278.25,2356.35,3
358,1,-1964.09,385.698,2001.6,4
359,1,-2501.92,-1079.29,2724.79,2
360,1,-1160.58,-2259.88,2540.48,3
361,1,2203.51,-67.0949,2204.53,3
362,1,-115.986,836.484,844.487,5
363,1,-1935.89,-1805.27,2647.01,3
364,1,2880.69,340.529,2900.75,2
365,1,1986.66,-538.012,2058.22,4
366,1,-847.575,643.3,1064.06,5
367,1,710.687,1794.48,1930.09,4
368,1,1357.09,925.718,1642.76,5
369,1,997.339,-90.4596,1001.43,5
370,1,-2480.01,1452.56,2874.09,2
371,1,-550.328,91.5993,557.899,5
372,1,55.5338,-2214.59,2215.29,3
373,1,2127.44,-1235.76,2460.3,3
374,1,2079.83,-22.6055,2079.95,4
375,1,-339.172,-2726.18,2747.2,2
376,1,-2381.77,-1066.71,2609.73,3
377,1,900.292,-712.334,1148.02,5
378,1,988.382,832.734,1292.42,5
379,1,5.47449,2050.69,2050.7,4
380,1,825.892,-2421.22,2558.2,3
381,1,-1202.9,2614.86,2878.27,2
382,1,-1175.98,-1511.15,1914.81,4
383,1,1738.5,-2144.65,2760.78,2
384,1,-1170.18,-527.626,1283.63,5
385,1,-539.767,1061.04,1190.45,5
386,1,-9.78131,1715.36,1715.38,5
387,1,261.338,2680.59,2693.3,3
388,1,-334.062,2488.36,2510.69,3
389,1,-445.744,-2201.64,2246.31,3
390,1,252.57,26.2603,253.932,5
391,1,-2723.98,520.66,2773.3,2
392,1,-1669.59,-1723.8,2399.8,3
393,1,-1633.46,18.1462,1633.56,5
394,1,-271.703,-2911.84,2924.48,2
395,1,-2470.47,-322.461,2491.42,3
396,1,1574.53,2090.37,2617.02,3
397,1,-1018.24,-182.316,1034.43,5
398,1,-593.792,1664.32,1767.08,4
399,1,1305.17,2059.38,2438.14,3
400,1,-2186.73,1801.89,2833.48,2
401,1,-1684.65,-1156.74,2043.55,4
402,1,-2615.14,-597.032,2682.43,3
403,1,-1384.39,1270.87,1879.27,4
404,1,1427.14,-1602.26,2145.68,4
405,1,1080.16,131.981,1088.19,5
406,1,-991.255,-246.526,1021.45,5
407,1,98.4395,2380.19,2382.22,3
408,1,-2310.08,-188.536,2317.76,3
409,1,-1984.23,-2006.07,2821.61,2
410,1,-182.748,395.512,435.691,5
411,1,1749.47,860.81,1949.78,4
412,1,699.036,1424.41,1586.69,5
413,1,-475.223,2247.99,2297.67,3
414,1,184.78,-2024.74,2033.16,4
415,1,-2121.52,1273.5,2474.4,3
416,1,-1208.53,1709.73,2093.74,4
417,1,-2125.64,-498.057,2183.21,3
418,1,1282.28,-1993.48,2370.28,3
419,1,1005.26,1617.4,1904.34,4
420,1,1479.28,-788.943,1676.51,5
421,1,156.923,469.108,494.659,5
422,1,-1072.02,1680.32,1993.16,4
423,1,-1711.25,-2272.24,2844.55,2
424,1,135.329,-1507.98,1514.04,5
425,1,-193.438,-148.461,243.842,5
426,1,1102.39,-2085.58,2359.01,3
427,1,1480.41,1591.84,2173.84,3
428,1,-646.281,1010.88,1199.81,5
429,1,698.437,2364.28,2465.29,3
430,1,1454.27,2341.32,2756.21,2
431,1,-731.411,-1440.3,1615.38,5
432,1,520.573,-2305.66,2363.7,3
433,1,1260.81,2215.4,2549.05,3
434,1,-813.502,-2537.28,2664.5,3
435,1,2371.78,1663.82,2897.17,2
436,1,1070.56,905.096,1401.89,5
437,1,71.5814,710.369,713.966,5
438,1,975.705,-553.512,1121.77,5
439,1,569.653,2412.86,2479.2,3
440,1,1227.07,2389.1,2685.8,3
441,1,1672.79,882.785,1891.44,4
442,1,2102.91,-1390.58,2521.1,3
443,1,1197.96,758.105,1417.69,5
444,1,-1247.3,2123.2,2462.46,3
445,1,1078.84,1649.6,1971.06,4
446,1,1915.82,828.517,2087.3,4
447,1,-1771.56,48.245,1772.22,4
448,1,920.679,-1941.59,2148.82,4
449,1,1258.47,-421.559,1327.2,5
450,1,2832.28,488.025,2874.02,2
451,1,2651.89,-664.991,2734,2
452,1,-987.574,-2050.76,2276.17,3
453,1,1249.25,2317.19,2632.49,3
454,1,116.927,-2673.14,2675.7,3
455,1,-819.077,2854.06,2969.27,2
