Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
6.168867643,USMsgTx,158,2,9e00000000000000b1ffffffffffffff0000,18
6.185577946,USMsgTx,1074,2,3204000000000000b0ffffffffffffff0000,18
6.196795657,USMsgTx,384,2,8001000000000000afffffffffffffff0000,18
6.259111827,USMsgTx,1754,2,da06000000000000aeffffffffffffff0000,18
6.266152137,USMsgTx,753,2,f102000000000000adffffffffffffff0000,18
6.355343135,USMsgTx,2664,2,680a000000000000acffffffffffffff0000,18
6.383658812,USMsgTx,1237,2,d504000000000000abffffffffffffff0000,18
6.454217606,USMsgTx,2937,2,790b000000000000aaffffffffffffff0000,18
6.566545661,USMsgTx,661,2,9502000000000000a9ffffffffffffff0000,18
6.599133944,USMsgTx,1311,2,1f05000000000000a8ffffffffffffff0000,18
6.808761650,USMsgTx,830,2,3e03000000000000a7ffffffffffffff0000,18
6.814076825,USMsgTx,3000,2,b80b000000000000a6ffffffffffffff0000,18
6.831639008,USMsgTx,2466,2,a209000000000000a5ffffffffffffff0000,18
6.846320611,USMsgTx,1572,2,2406000000000000a4ffffffffffffff0000,18
6.969580971,USMsgTx,2892,2,4c0b000000010000a3ffffffffffffff0000,18
6.970366986,USMsgTx,391,2,8701000000000000a2ffffffffffffff0000,18
7.282204813,USMsgTx,2283,2,eb08000000000000a1ffffffffffffff0000,18
7.345307275,USMsgTx,2086,2,2608000000000000a0ffffffffffffff0000,18
7.385099454,USMsgTx,1532,2,fc050000000000009fffffffffffffff0000,18
7.410753108,USMsgTx,22,2,16000000000000009effffffffffffff0000,18
7.487486991,USMsgTx,1829,2,25070000000000009dffffffffffffff0000,18
7.531285231,USMsgTx,621,2,6d020000000000009cffffffffffffff0000,18
7.576176471,USMsgTx,2110,2,3e080000000000009bffffffffffffff0000,18
7.588389184,USMsgTx,712,2,c8020000000000009affffffffffffff0000,18
7.679247971,USMsgTx,2026,2,ea0700000000000099ffffffffffffff0000,18
7.802919047,USMsgTx,264,2,080100000000000098ffffffffffffff0000,18
7.953152725,USMsgTx,1162,2,8a0400000000000097ffffffffffffff0000,18
8.005242972,USMsgTx,1873,2,510700000000000096ffffffffffffff0000,18
8.028031832,USMsgTx,182,2,b60000000000000095ffffffffffffff0000,18
8.101917473,USMsgTx,1083,2,3b0400000000000094ffffffffffffff0000,18
8.116653139,USMsgTx,32,2,200000000000000093ffffffffffffff0000,18
8.123896850,USMsgTx,2000,2,d00700000000000092ffffffffffffff0000,18
8.159753935,USMsgTx,999,2,e70300000000000091ffffffffffffff0000,18
8.162416307,USMsgTx,2073,2,190800000000000090ffffffffffffff0000,18
8.168896916,USMsgTx,2364,2,3c090000000000008fffffffffffffff0000,18
8.287537941,USMsgTx,462,2,ce010000000000008effffffffffffff0000,18
8.393151393,USMsgTx,1452,2,ac050000000000008dffffffffffffff0000,18
8.465866921,USMsgTx,816,2,30030000000000008cffffffffffffff0000,18
8.527105737,USMsgTx,415,2,9f010000000000008bffffffffffffff0000,18
8.546744747,USMsgTx,220,2,dc000000000000008affffffffffffff0000,18
8.547968365,USMsgTx,2508,2,cc0900000000000089ffffffffffffff0000,18
8.750070380,USMsgTx,1539,2,030600000000000088ffffffffffffff0000,18
8.837317125,USMsgTx,1985,2,c10700000000000087ffffffffffffff0000,18
8.930941739,USMsgTx,1985,2,c10700000001000086ffffffffffffff0000,18
9.251277480,USMsgTx,1905,2,710700000000000085ffffffffffffff0000,18
9.254859626,USMsgTx,291,2,230100000000000084ffffffffffffff0000,18
