<nGateways>,<nEndDevices>,<totalTime>,<drCalcMethod>,<drCalcMethodMisc>,<seed>,<usDataPeriod>,<nodeId>,<tranmissionsDeliveredForNode>,<tranmissionsSentForNode>,<PDRForNode>
1,1000,301,0,0.01,31088,300,59,1,1,1.0
1,1000,301,0,0.01,31088,300,60,1,1,1.0
1,1000,301,0,0.01,31088,300,61,1,1,1.0
1,1000,301,0,0.01,31088,300,62,1,1,1.0
1,1000,301,0,0.01,31088,300,63,0,1,0.0
1,1000,301,0,0.01,31088,300,64,1,1,1.0
1,1000,301,0,0.01,31088,300,65,1,1,1.0
1,1000,301,0,0.01,31088,300,66,1,1,1.0
1,1000,301,0,0.01,31088,300,67,1,1,1.0
1,1000,301,0,0.01,31088,300,68,1,1,1.0
1,1000,301,0,0.01,31088,300,69,1,1,1.0
1,1000,301,0,0.01,31088,300,70,1,1,1.0
1,1000,301,0,0.01,31088,300,71,1,1,1.0
1,1000,301,0,0.01,31088,300,72,1,1,1.0
1,1000,301,0,0.01,31088,300,73,1,1,1.0
1,1000,301,0,0.01,31088,300,74,1,1,1.0
1,1000,301,0,0.01,31088,300,75,1,1,1.0
1,1000,301,0,0.01,31088,300,76,1,1,1.0
1,1000,301,0,0.01,31088,300,77,0,1,0.0
1,1000,301,0,0.01,31088,300,78,1,1,1.0
1,1000,301,0,0.01,31088,300,79,1,1,1.0
1,1000,301,0,0.01,31088,300,80,1,1,1.0
1,1000,301,0,0.01,31088,300,81,1,1,1.0
1,1000,301,0,0.01,31088,300,82,1,1,1.0
1,1000,301,0,0.01,31088,300,83,1,1,1.0
1,1000,301,0,0.01,31088,300,84,1,1,1.0
1,1000,301,0,0.01,31088,300,85,1,1,1.0
1,1000,301,0,0.01,31088,300,86,1,1,1.0
1,1000,301,0,0.01,31088,300,87,1,1,1.0
1,1000,301,0,0.01,31088,300,88,1,1,1.0
1,1000,301,0,0.01,31088,300,89,1,1,1.0
1,1000,301,0,0.01,31088,300,90,1,1,1.0
1,1000,301,0,0.01,31088,300,91,1,1,1.0
1,1000,301,0,0.01,31088,300,92,0,1,0.0
1,1000,301,0,0.01,31088,300,93,1,1,1.0
1,1000,301,0,0.01,31088,300,94,1,1,1.0
1,1000,301,0,0.01,31088,300,95,1,1,1.0
1,1000,301,0,0.01,31088,300,96,1,1,1.0
1,1000,301,0,0.01,31088,300,97,1,1,1.0
1,1000,301,0,0.01,31088,300,98,1,1,1.0
1,1000,301,0,0.01,31088,300,99,1,1,1.0
1,1000,301,0,0.01,31088,300,100,1,1,1.0
1,1000,301,0,0.01,31088,300,101,1,1,1.0
1,1000,301,0,0.01,31088,300,102,1,1,1.0
1,1000,301,0,0.01,31088,300,103,1,1,1.0
1,1000,301,0,0.01,31088,300,104,1,1,1.0
1,1000,301,0,0.01,31088,300,105,1,1,1.0
1,1000,301,0,0.01,31088,300,106,1,1,1.0
1,1000,301,0,0.01,31088,300,107,1,1,1.0
1,1000,301,0,0.01,31088,300,108,1,1,1.0
1,1000,301,0,0.01,31088,300,109,1,1,1.0
1,1000,301,0,0.01,31088,300,110,1,1,1.0
1,1000,301,0,0.01,31088,300,111,1,1,1.0
1,1000,301,0,0.01,31088,300,112,1,1,1.0
1,1000,301,0,0.01,31088,300,113,1,1,1.0
1,1000,301,0,0.01,31088,300,114,1,1,1.0
1,1000,301,0,0.01,31088,300,115,1,1,1.0
1,1000,301,0,0.01,31088,300,116,1,1,1.0
1,1000,301,0,0.01,31088,300,117,0,1,0.0
1,1000,301,0,0.01,31088,300,118,1,1,1.0
1,1000,301,0,0.01,31088,300,119,1,1,1.0
1,1000,301,0,0.01,31088,300,120,1,1,1.0
1,1000,301,0,0.01,31088,300,121,1,1,1.0
1,1000,301,0,0.01,31088,300,122,0,1,0.0
1,1000,301,0,0.01,31088,300,123,0,1,0.0
1,1000,301,0,0.01,31088,300,124,1,1,1.0
1,1000,301,0,0.01,31088,300,125,1,1,1.0
1,1000,301,0,0.01,31088,300,126,1,1,1.0
1,1000,301,0,0.01,31088,300,127,1,1,1.0
1,1000,301,0,0.01,31088,300,128,1,1,1.0
1,1000,301,0,0.01,31088,300,129,0,1,0.0
1,1000,301,0,0.01,31088,300,130,1,1,1.0
1,1000,301,0,0.01,31088,300,131,1,1,1.0
1,1000,301,0,0.01,31088,300,132,1,1,1.0
1,1000,301,0,0.01,31088,300,133,1,1,1.0
1,1000,301,0,0.01,31088,300,134,1,1,1.0
